Date,FaceBook Close Price,Amazon Close Price,Netflix Close Price,Google Close Price
4/14/2015 ,83.515,385.11,68.39,530.39
4/15/2015 ,82.705,383.45,67.923,532.53
4/16/2015 ,82.31,386.04,80.29,533.8
4/17/2015 ,80.775,375.56,81.65,524.05
4/20/2015 ,83.09,389.51,81.06,535.38
4/21/2015 ,83.62,391.18,80.06,533.97
4/22/2015 ,84.63,389.8,79.67,539.365
4/23/2015 ,82.41,389.99,79.87,547
4/24/2015 ,81.53,445.1,79.771,565.06
4/27/2015 ,81.91,438.56,80.87,555.37
4/28/2015 ,80.68,429.31,80.44,553.68
4/29/2015 ,80.465,429.37,80.4071,549.08
4/30/2015 ,78.77,421.78,79.5,537.34
5/1/2015 ,78.99,422.87,79.58,537.9
5/4/2015 ,78.81,423.04,79.3,540.78
5/5/2015 ,77.56,421.19,80.79,530.8
5/6/2015 ,78.1,419.1,80.08,524.22
5/7/2015 ,78.425,426.88,80.75,530.7
5/8/2015 ,78.51,433.69,82.09,538.22
5/11/2015 ,78.01,432.85,84.278,535.7
5/12/2015 ,77.46,431.02,83.38,529.04
5/13/2015 ,78.44,426.87,82.87,529.62
5/14/2015 ,81.37,432.28,83.84,538.4
5/15/2015 ,80.42,426,87.6071,533.85
5/18/2015 ,80.88,425.24,88.267,532.3
5/19/2015 ,80.63,421.71,88.07,537.36
5/20/2015 ,80.55,423.86,88.79,539.27
5/21/2015 ,80.48,431.63,89,542.51
5/22/2015 ,80.54,427.63,88.84,540.11
5/26/2015 ,79.335,425.47,87.993,532.32
5/27/2015 ,80.55,431.42,89.86,539.79
5/28/2015 ,80.145,426.57,89.51,539.78
5/29/2015 ,79.19,429.23,89.15,532.11
6/1/2015 ,80.29,430.92,89.003,533.99
6/2/2015 ,80.445,430.99,89.13,539.18
6/3/2015 ,82.44,436.59,88.81,540.31
6/4/2015 ,82.05,430.78,89.35,536.7
6/5/2015 ,82.14,426.95,90.46,533.33
6/8/2015 ,80.67,423.5,89.6,526.83
6/9/2015 ,80.67,425.48,92.45,526.69
6/10/2015 ,82.16,430.77,95.87,536.69
6/11/2015 ,81.83,432.97,95.09,534.61
6/12/2015 ,81.53,429.92,94.42,532.33
6/15/2015 ,80.71,423.67,93.43,527.2
6/16/2015 ,81.06,427.26,95.27,528.15
6/17/2015 ,81.79,427.81,94.271,529.26
6/18/2015 ,82.905,439.39,94.74,536.73
6/19/2015 ,82.51,434.92,93.8714,536.69
6/22/2015 ,84.74,436.29,96.41,538.19
6/23/2015 ,87.88,445.99,97.31,540.48
6/24/2015 ,88.86,440.84,96.94,537.84
6/25/2015 ,87.98,440.1,94.89,535.23
6/26/2015 ,88.01,438.1,93.09,531.69
6/29/2015 ,85.8,429.86,92.23,521.52
6/30/2015 ,85.765,434.09,93.85,520.51
7/1/2015 ,86.91,437.39,93.6357,521.84
7/2/2015 ,87.285,437.71,94.04,523.4
7/6/2015 ,87.55,436.04,94.57,522.86
